MTU,DE_50HzT -> PL,PL -> DE_50HzT,DE_50HzT -> CZ,CZ -> DE_50HzT,DE_50HzT -> DK,DK -> DE_50HzT
15:00 - 16:00,1512.62,0.00,1152.64,0.00,622.47,0.00
16:00 - 17:00,788.14,0.05,900.35,0.00,776.42,0.00
17:00 - 18:00,19.31,262.24,337.91,0.00,775.79,0.00
18:00 - 19:00,0.21,587.78,15.87,224.23,811.51,0.00
19:00 - 20:00,218.59,72.24,109.24,19.78,690.55,0.00
20:00 - 21:00,564.69,0.00,269.33,0.00,535.05,0.27
21:00 - 22:00,394.76,0.00,125.24,7.24,670.05,0.00
22:00 - 23:00,694.59,0.00,270.17,0.00,445.33,0.19
23:00 - 00:00,833.39,0.00,488.71,0.00,233.36,0.10
00:00 - 01:00,1160.57,0.00,819.01,0.00,374.92,0.11
01:00 - 02:00,1186.96,0.00,1046.49,0.00,788.65,0.00
02:00 - 03:00,1167.08,0.00,1101.26,0.00,827.85,0.00
03:00 - 04:00,1234.44,0.00,1403.07,0.00,866.31,0.00
04:00 - 05:00,909.49,0.00,1815.13,0.00,956.23,0.00
05:00 - 06:00,1409.29,0.00,1574.51,0.00,962.20,0.00
06:00 - 07:00,1704.38,0.00,1688.67,0.00,974.01,0.00
07:00 - 08:00,1788.99,0.00,1800.79,0.00,981.78,0.00
08:00 - 09:00,1713.26,0.00,1285.44,0.00,994.71,0.00
09:00 - 10:00,1477.94,0.00,857.29,0.00,1000.96,0.00
10:00 - 11:00,1358.18,0.00,676.88,0.00,1000.89,0.00
11:00 - 12:00,1225.00,0.00,505.78,0.00,993.73,0.00
12:00 - 13:00,1327.78,0.00,672.89,0.00,968.63,0.00
13:00 - 14:00,1500.49,0.00,982.36,0.00,929.53,0.00
14:00 - 15:00,1738.03,0.00,1110.99,0.00,907.36,0.00
15:00 - 16:00,1819.55,0.00,1213.01,0.00,881.19,0.00
16:00 - 17:00,1630.99,0.00,1236.82,0.00,858.26,0.00
17:00 - 18:00,1503.63,0.00,1322.59,0.00,843.46,0.00
18:00 - 19:00,1489.77,0.00,1271.65,0.00,828.97,0.00
19:00 - 20:00,1473.53,0.00,1277.88,0.00,820.26,0.00
20:00 - 21:00,1573.24,0.00,1182.23,0.00,795.78,0.00
21:00 - 22:00,1601.39,0.00,1429.41,0.00,767.91,0.00
22:00 - 23:00,1616.47,0.00,1285.88,0.00,682.02,0.00
23:00 - 00:00,1579.31,0.00,696.08,0.00,562.32,0.14
00:00 - 01:00,1677.48,0.00,325.17,0.00,758.57,0.00
01:00 - 02:00,1228.41,0.00,18.54,96.73,765.05,0.00
02:00 - 03:00,774.92,0.00,0.00,441.16,743.66,0.00
03:00 - 04:00,681.17,0.00,0.00,325.47,736.03,0.00
04:00 - 05:00,763.43,0.00,0.00,431.30,765.02,0.00
05:00 - 06:00,683.80,0.00,0.00,619.73,765.40,0.00
06:00 - 07:00,667.55,0.00,0.00,668.63,767.32,0.00
07:00 - 08:00,661.87,0.00,0.00,436.66,768.33,0.00
08:00 - 09:00,874.01,0.00,2.15,150.69,768.71,0.00
09:00 - 10:00,1249.64,0.00,19.67,4.79,759.93,0.00
10:00 - 11:00,862.97,0.00,0.00,100.56,782.81,0.00
11:00 - 12:00,833.88,0.00,0.00,95.93,749.25,0.00
12:00 - 13:00,911.30,0.00,4.97,96.00,773.30,0.00
13:00 - 14:00,1233.87,0.00,112.58,0.00,819.95,0.00
14:00 - 15:00,1456.66,0.00,98.14,0.08,843.43,0.00
15:00 - 16:00,1186.19,0.00,41.90,3.08,850.69,0.00
16:00 - 17:00,1124.09,0.00,12.32,18.65,858.66,0.00
17:00 - 18:00,474.09,0.00,0.00,512.68,859.88,0.00
18:00 - 19:00,259.23,0.00,0.00,756.48,859.33,0.00
19:00 - 20:00,394.72,0.00,0.00,936.86,747.23,0.00
20:00 - 21:00,929.61,0.00,0.00,750.61,847.76,0.00
21:00 - 22:00,982.08,0.00,0.00,786.02,855.04,0.00
22:00 - 23:00,860.28,0.00,0.00,956.53,873.35,0.00
23:00 - 00:00,389.81,0.39,0.00,1206.42,852.66,0.00
00:00 - 01:00,269.60,84.70,0.00,1493.40,810.74,0.00
01:00 - 02:00,277.77,222.21,0.00,1623.14,647.83,0.00
02:00 - 03:00,278.09,279.82,0.00,1699.75,795.55,0.00
03:00 - 04:00,245.18,302.74,0.00,1622.70,889.45,0.00
04:00 - 05:00,220.15,283.29,0.00,1511.82,917.72,0.00
05:00 - 06:00,257.96,96.87,0.00,1352.34,941.48,0.00
06:00 - 07:00,377.34,2.00,0.00,1226.90,963.66,0.00
07:00 - 08:00,341.65,0.39,0.00,1312.48,978.54,0.00
08:00 - 09:00,284.61,27.45,0.00,914.35,921.58,0.00
09:00 - 10:00,295.79,56.08,0.00,643.29,827.65,0.00
10:00 - 11:00,274.74,199.80,0.00,576.66,775.44,0.00
11:00 - 12:00,273.48,275.13,0.00,514.99,601.77,0.29
12:00 - 13:00,255.38,252.58,0.00,580.39,451.87,1.46
13:00 - 14:00,259.77,179.86,0.00,424.29,359.28,1.12
14:00 - 15:00,335.19,52.61,0.00,247.31,76.48,0.32
15:00 - 16:00,480.79,18.67,0.00,195.62,24.06,0.12
16:00 - 17:00,525.09,0.00,0.00,194.28,514.57,0.20
17:00 - 18:00,508.85,0.00,0.00,169.43,264.74,0.47
18:00 - 19:00,423.79,0.00,0.00,183.65,429.58,0.40
19:00 - 20:00,446.02,0.00,2.14,53.17,435.13,0.18
20:00 - 21:00,893.29,0.00,93.26,3.17,768.68,0.00
21:00 - 22:00,952.13,0.00,14.02,20.36,615.44,0.02
22:00 - 23:00,688.63,0.00,2.70,67.02,71.04,0.32
23:00 - 00:00,429.02,0.00,0.00,274.55,204.96,0.29
00:00 - 01:00,411.84,183.56,0.00,765.41,74.58,0.16
01:00 - 02:00,483.95,198.98,0.00,904.20,204.49,0.18
02:00 - 03:00,489.29,172.56,0.00,631.98,425.47,0.03
03:00 - 04:00,484.42,258.70,0.00,604.48,304.92,0.25
04:00 - 05:00,498.24,142.33,0.00,553.07,446.31,0.58
05:00 - 06:00,822.82,0.06,6.69,262.22,774.40,0.00
06:00 - 07:00,1436.22,0.00,478.99,0.00,716.75,0.00
07:00 - 08:00,1671.18,0.00,399.66,0.00,840.60,0.00
08:00 - 09:00,1908.64,0.00,380.91,0.00,860.41,0.00
09:00 - 10:00,1609.36,0.00,375.86,0.00,885.76,0.00
10:00 - 11:00,1437.14,0.00,553.38,0.00,916.13,0.00
11:00 - 12:00,1599.99,0.00,781.60,0.00,949.77,0.00
12:00 - 13:00,1474.60,0.00,786.14,0.00,990.45,0.00
13:00 - 14:00,1613.66,0.00,936.02,0.00,1000.45,0.00
14:00 - 15:00,1826.68,0.00,945.40,0.00,1000.47,0.00
15:00 - 16:00,1852.97,0.00,774.24,0.00,1000.57,0.00
16:00 - 17:00,1589.77,0.00,762.16,0.00,1000.05,0.00
17:00 - 18:00,1413.63,0.00,831.83,0.00,987.08,0.00
18:00 - 19:00,1860.22,0.00,1031.55,0.00,826.08,0.00
19:00 - 20:00,1612.71,0.00,801.14,0.00,814.92,0.00
20:00 - 21:00,1456.56,0.00,410.20,0.00,792.33,0.00
21:00 - 22:00,1296.01,0.00,328.89,0.00,924.75,0.00
22:00 - 23:00,1434.13,0.00,336.02,0.00,458.64,0.21
23:00 - 00:00,800.00,0.00,2.93,155.70,618.44,0.04
00:00 - 01:00,1555.30,0.00,200.56,0.00,244.21,0.18
01:00 - 02:00,1333.34,0.00,88.22,0.00,98.65,0.22
02:00 - 03:00,1424.09,0.00,186.47,0.00,1.96,59.01
03:00 - 04:00,1449.82,0.00,98.21,0.33,205.05,0.21
04:00 - 05:00,1573.65,0.00,390.77,0.00,232.31,0.28
05:00 - 06:00,1544.09,0.00,643.01,0.00,277.19,0.24
06:00 - 07:00,1447.53,0.00,770.76,0.00,570.56,0.20
07:00 - 08:00,1393.01,0.00,733.14,0.00,961.70,0.00
08:00 - 09:00,1149.68,0.00,435.62,0.00,976.83,0.00
09:00 - 10:00,990.02,0.00,197.64,0.18,973.02,0.00
10:00 - 11:00,668.00,0.00,53.88,61.67,968.55,0.00
11:00 - 12:00,809.09,0.00,99.87,0.86,966.78,0.00
12:00 - 13:00,993.01,0.00,224.58,0.00,963.12,0.00
13:00 - 14:00,1463.90,0.00,372.02,0.00,946.15,0.00
14:00 - 15:00,1620.11,0.00,368.14,0.00,968.19,0.00
15:00 - 16:00,1534.04,0.00,468.00,0.00,963.79,0.00
